hole_cards,preflop_action,position,sample_hand_strength,position_processed,preflop_action_processed
"('Ks', 'Js')",F,EP,0.085,0,0
"('Ts', 'Qs')",F,MP,0.15,1,0
"('Qs', 'Jc')",F,EP,0.195,0,0
"('Jc', 'Ac')",R,MP,0.055,1,1
"('7h', 'As')",F,EP,0.2,0,0
"('8c', 'Ad')",F,EP,0.165,0,0
"('Ah', 'Ks')",R,MP,0.05,1,1
"('9d', 'Qd')",F,BTN,0.185,3,0
"('Ts', 'Td')",R,CO,0.025,2,1
"('Ks', 'Qc')",F,MP,0.115,1,0
"('As', '8s')",F,MP,0.105,1,0
"('Ac', 'Js')",R,BTN,0.08,3,1
"('Qs', 'Kh')",F,MP,0.115,1,0
"('Tc', 'Ks')",R,SB,0.175,4,1
"('Qd', 'Qh')",R,CO,0.015,2,1
"('7c', 'Kc')",F,CO,0.21,2,0
"('Ah', '9h')",F,MP,0.085,1,0
"('Qc', '9c')",R,MP,0.185,1,1
"('5h', '5d')",F,MP,0.145,1,0
"('As', 'Ac')",R,BTN,0.005,3,1
"('Qd', 'Kc')",R,CO,0.115,2,1
"('Jc', 'Ah')",R,BTN,0.08,3,1
"('Ks', '9s')",F,BTN,0.145,3,0
"('9c', '9s')",R,CO,0.03,2,1
"('Ah', 'Tc')",R,BTN,0.105,3,1
"('Ah', 'Qs')",F,MP,0.07,1,0
"('Js', 'Qh')",F,EP,0.195,0,0
"('7c', 'Kc')",F,EP,0.21,0,0
"('9h', 'Kh')",F,CO,0.145,2,0
"('8h', '8s')",R,EP,0.035,0,1
"('7h', 'Kh')",R,MP,0.21,1,1
"('As', '7h')",F,MP,0.2,1,0
"('Qc', 'Ac')",R,BTN,0.04,3,1
"('Js', 'Ad')",R,SB,0.08,4,1
"('Qc', 'Jc')",F,EP,0.12,0,0
"('8c', 'Ad')",F,EP,0.165,0,0
"('8h', '8d')",R,EP,0.035,0,1
"('Kd', 'Th')",F,MP,0.175,1,0
"('7d', 'Ah')",F,MP,0.2,1,0
"('As', 'Jc')",R,MP,0.08,1,1
"('As', 'Jc')",F,EP,0.08,0,0
"('Ad', 'Jd')",F,MP,0.055,1,0
"('2c', 'Ac')",F,MP,0.215,1,0
"('4s', 'As')",R,BTN,0.17,3,1
"('Kd', 'Jh')",R,SB,0.14,4,1
"('Kh', 'Ah')",R,BTN,0.035,3,1
"('Qs', 'Jc')",R,BTN,0.195,3,1
"('Jh', 'Ac')",F,MP,0.08,1,0
"('As', 'Qc')",R,BTN,0.07,3,1
"('9h', 'Ad')",F,EP,0.145,0,0
"('As', 'Jc')",R,BTN,0.08,3,1
"('Qd', 'Ad')",R,BTN,0.04,3,1
"('Kh', 'Jd')",R,CO,0.14,2,1
"('8h', '8s')",F,MP,0.035,1,0
"('2d', 'Ad')",R,CO,0.215,2,1
"('Kh', 'Tc')",F,EP,0.175,0,0
"('7d', '7h')",R,SB,0.055,4,1
"('Kh', '7h')",R,SB,0.21,4,1
"('Qh', 'Ac')",F,MP,0.07,1,0
"('9h', 'Ac')",F,EP,0.145,0,0
"('Kd', 'Ad')",R,MP,0.035,1,1
"('Ks', '7s')",R,SB,0.21,4,1
"('Kc', 'Kd')",R,CO,0.01,2,1
"('As', 'Qc')",R,BTN,0.07,3,1
"('Kc', 'Ts')",F,BTN,0.175,3,0
"('Qs', 'Jh')",R,SB,0.195,4,1
"('6h', 'Ah')",F,MP,0.155,1,0
"('Jh', 'Jc')",R,SB,0.02,4,1
"('Kh', 'Th')",F,EP,0.1,0,0
"('Ah', 'Ks')",R,CO,0.05,2,1
"('7d', 'As')",F,BTN,0.2,3,0
"('9d', '9c')",R,MP,0.03,1,1
"('Ad', '7h')",F,CO,0.2,2,0
"('Ac', '6c')",R,EP,0.155,0,1
"('9d', 'Ad')",R,SB,0.085,4,1
"('Ad', '2d')",R,BTN,0.215,3,1
"('Kc', 'Ts')",F,EP,0.175,0,0
"('9c', 'Qc')",F,MP,0.185,1,0
"('As', 'Jc')",F,CO,0.08,2,0
"('Tc', 'Ks')",F,CO,0.175,2,0
"('Kd', 'Js')",R,BTN,0.14,3,1
"('9c', '9h')",R,CO,0.03,2,1
"('8h', 'Kh')",F,SB,0.18,4,0
"('Ks', 'Ah')",R,MP,0.05,1,1
"('Qs', 'Ts')",F,MP,0.15,1,0
"('7h', 'Ah')",R,EP,0.12,0,1
"('As', 'Ac')",R,SB,0.005,4,1
"('Qs', 'Jc')",R,BTN,0.195,3,1
"('Ac', '9s')",F,EP,0.145,0,0
"('8d', 'As')",F,EP,0.165,0,0
"('Ah', 'Js')",R,MP,0.08,1,1
"('7s', 'As')",R,EP,0.12,0,1
"('Kd', '9d')",F,BTN,0.145,3,0
"('Ac', 'Kc')",R,CO,0.035,2,1
"('Ks', 'Tc')",R,SB,0.175,4,1
"('Th', 'Jh')",F,MP,0.21,1,0
"('Js', 'Ah')",F,MP,0.08,1,0
"('8c', '8s')",R,MP,0.035,1,1
"('4d', 'Ad')",R,SB,0.17,4,1
"('Ad', '9s')",F,BTN,0.145,3,0
"('As', 'Tc')",R,MP,0.105,1,1
"('Jh', 'Qc')",F,EP,0.195,0,0
"('Ad', 'Kh')",R,MP,0.05,1,1
"('2s', 'As')",F,EP,0.215,0,0
"('7s', 'Ad')",F,MP,0.2,1,0
"('9d', 'As')",F,MP,0.145,1,0
"('Kc', '9c')",F,MP,0.145,1,0
"('6c', '6d')",F,CO,0.09,2,0
"('Jd', 'Kh')",F,MP,0.14,1,0
"('Jc', 'Ad')",R,CO,0.08,2,1
"('Jc', 'Ah')",R,SB,0.08,4,1
"('Ah', 'Jh')",F,CO,0.055,2,0
"('Kc', 'Ad')",F,MP,0.05,1,0
"('6h', '6c')",F,BTN,0.09,3,0
"('7s', '7c')",R,EP,0.055,0,1
"('Js', 'Ks')",F,MP,0.085,1,0
"('Kh', '7h')",F,CO,0.21,2,0
"('8s', '8c')",F,SB,0.035,4,0
"('Kd', '7d')",R,SB,0.21,4,1
"('7s', 'Ad')",F,CO,0.2,2,0
"('Ah', 'Js')",R,BTN,0.08,3,1
"('Ac', '9d')",F,BTN,0.145,3,0
"('Kd', 'Ks')",R,SB,0.01,4,1
"('6c', '6d')",F,MP,0.09,1,0
"('As', '4s')",R,MP,0.17,1,1
"('7h', 'Ac')",R,BTN,0.2,3,1
"('Kh', '9h')",F,BTN,0.145,3,0
"('Ks', '8s')",F,CO,0.18,2,0
"('Ad', '5d')",R,CO,0.155,2,1
"('8c', 'Ac')",R,MP,0.105,1,1
"('Kd', 'Ah')",R,MP,0.05,1,1
"('Kh', 'Jc')",F,MP,0.14,1,0
"('As', '7c')",F,EP,0.2,0,0
"('Ad', '7c')",F,MP,0.2,1,0
"('Ac', 'Th')",R,EP,0.105,0,1
"('Jh', 'Ac')",R,SB,0.08,4,1
"('Kc', 'Ks')",R,MP,0.01,1,1
"('8h', 'Ah')",R,MP,0.105,1,1
"('Ad', 'Th')",F,BTN,0.105,3,0
"('Qh', 'Qd')",R,MP,0.015,1,1
"('Ac', 'Kd')",R,CO,0.05,2,1
"('8h', '8c')",F,CO,0.035,2,0
"('Qd', 'Qc')",R,CO,0.015,2,1
"('8h', '8c')",R,CO,0.035,2,1
"('7d', 'Ad')",R,BTN,0.12,3,1
"('Ts', 'Tc')",R,MP,0.025,1,1
"('Ts', 'Tc')",F,MP,0.025,1,0
"('Ad', 'Qc')",R,EP,0.07,0,1
"('Ah', 'Tc')",R,SB,0.105,4,1
"('Jh', 'Kc')",F,EP,0.14,0,0
"('Jh', 'Ks')",R,BTN,0.14,3,1
"('7d', '7s')",R,MP,0.055,1,1
"('Kc', 'Ac')",R,BTN,0.035,3,1
"('Ac', '7d')",F,MP,0.2,1,0
"('As', '9h')",F,MP,0.145,1,0
"('Jc', 'Kh')",R,SB,0.14,4,1
"('Ac', 'Jd')",F,SB,0.08,4,0
"('9h', 'Ac')",R,BTN,0.145,3,1
"('Td', 'Th')",R,BTN,0.025,3,1
"('Ad', 'Jc')",F,BTN,0.08,3,0
"('Kh', 'Qh')",R,SB,0.07,4,1
"('Ad', '7c')",F,CO,0.2,2,0
"('7s', 'Ac')",F,CO,0.2,2,0
"('Ah', '7d')",F,BTN,0.2,3,0
"('Th', 'Kh')",R,BTN,0.1,3,1
"('Ah', 'Kc')",R,SB,0.05,4,1
"('As', 'Ah')",R,SB,0.005,4,1
"('8h', '8s')",R,EP,0.035,0,1
"('Ac', '6c')",F,EP,0.155,0,0
"('Ad', 'Js')",R,MP,0.08,1,1
"('As', '7s')",F,MP,0.12,1,0
"('Qc', 'Kc')",R,SB,0.07,4,1
"('Ah', 'Qh')",R,MP,0.04,1,1
"('Th', 'Jh')",R,BTN,0.21,3,1
"('8h', '8d')",R,MP,0.035,1,1
"('9s', 'Ac')",F,MP,0.145,1,0
"('2d', 'Ad')",F,CO,0.215,2,0
"('7s', 'Ac')",F,BTN,0.2,3,0
"('Ks', 'Qs')",F,EP,0.07,0,0
"('Qc', 'Kd')",R,BTN,0.115,3,1
"('Ac', 'Jc')",R,SB,0.055,4,1
"('Ad', 'Ts')",R,BTN,0.105,3,1
"('Kh', 'Ah')",R,BTN,0.035,3,1
"('Qd', 'Ks')",R,EP,0.115,0,1
"('Qd', 'Td')",R,MP,0.15,1,1
"('Jd', 'Td')",R,MP,0.21,1,1
"('Ah', '3h')",R,MP,0.205,1,1
"('Jc', 'Qs')",F,EP,0.195,0,0
"('Qs', 'Kc')",F,EP,0.115,0,0
"('8c', 'Ah')",F,EP,0.165,0,0
"('As', '4s')",R,SB,0.17,4,1
"('As', 'Ts')",R,EP,0.06,0,1
"('Kc', 'Kd')",R,MP,0.01,1,1
"('As', '7c')",F,MP,0.2,1,0
"('Js', 'Qh')",F,MP,0.195,1,0
"('Kd', 'Ad')",R,MP,0.035,1,1
"('Jh', 'Qd')",F,MP,0.195,1,0
"('Ah', '8c')",F,CO,0.165,2,0
"('Ad', '9s')",F,MP,0.145,1,0
"('Kc', 'Jh')",R,SB,0.14,4,1
"('7d', '7s')",F,BTN,0.055,3,0
"('Td', 'Ac')",F,EP,0.105,0,0
"('Ah', '6h')",F,EP,0.155,0,0
"('8d', 'Ah')",R,BTN,0.165,3,1
"('Js', 'Ad')",R,BTN,0.08,3,1
"('As', 'Kc')",R,MP,0.05,1,1
"('Jh', 'Kd')",R,BTN,0.14,3,1
"('Qc', '9c')",R,SB,0.185,4,1
"('Jd', 'Jc')",F,CO,0.02,2,0
"('Kd', '9d')",F,CO,0.145,2,0
"('Ks', 'Jc')",F,BTN,0.14,3,0
"('8s', 'Ac')",F,MP,0.165,1,0
"('Jc', 'As')",F,BTN,0.08,3,0
"('Kd', 'Kh')",R,EP,0.01,0,1
"('Kh', 'Js')",F,EP,0.14,0,0
"('Tc', 'Ks')",R,MP,0.175,1,1
"('Tc', 'Ah')",R,MP,0.105,1,1
"('As', 'Ac')",R,MP,0.005,1,1
"('Jc', 'Js')",R,CO,0.02,2,1
"('Ac', 'Kc')",R,MP,0.035,1,1
"('Kd', 'Th')",R,CO,0.175,2,1
"('Kc', 'Ks')",R,SB,0.01,4,1
"('Qd', 'As')",R,EP,0.07,0,1
"('Qs', 'Ac')",R,EP,0.07,0,1
"('Ad', 'Ks')",R,SB,0.05,4,1
"('Qc', 'Jh')",F,MP,0.195,1,0
"('Tc', 'Jc')",F,EP,0.21,0,0
"('9h', 'Ah')",R,SB,0.085,4,1
"('As', '8d')",F,SB,0.165,4,0
"('As', 'Ts')",R,SB,0.06,4,1
"('7c', 'Ad')",F,MP,0.2,1,0
"('Ac', 'Kd')",R,MP,0.05,1,1
"('Ac', 'Ks')",F,CO,0.05,2,0
"('7d', 'Kd')",F,MP,0.21,1,0
"('8d', 'As')",F,EP,0.165,0,0
"('Jd', 'Kd')",R,MP,0.085,1,1
"('Kd', 'Kh')",R,SB,0.01,4,1
"('6d', '6s')",R,BTN,0.09,3,1
"('As', '9s')",R,SB,0.085,4,1
"('7d', '7s')",R,SB,0.055,4,1
"('7s', 'Ah')",F,MP,0.2,1,0
"('Jc', 'Kd')",R,SB,0.14,4,1
"('Kd', 'Th')",F,BTN,0.175,3,0
"('Ad', '9h')",F,MP,0.145,1,0
"('Kh', 'Jc')",R,BTN,0.14,3,1
"('5d', '5s')",F,CO,0.145,2,0
"('4c', 'Ac')",R,MP,0.17,1,1
"('Jh', 'Ad')",R,SB,0.08,4,1
"('As', 'Qd')",R,SB,0.07,4,1
"('Qh', 'Kc')",R,SB,0.115,4,1
"('Ad', 'Jh')",R,BTN,0.08,3,1
"('Kd', 'Qc')",R,MP,0.115,1,1
"('As', 'Jc')",R,CO,0.08,2,1
"('Td', 'Ks')",F,MP,0.175,1,0
"('Ah', '7d')",R,BTN,0.2,3,1
"('7h', '7d')",R,SB,0.055,4,1
"('Ac', 'Kd')",R,EP,0.05,0,1
"('5s', 'As')",R,MP,0.155,1,1
"('9c', 'Qc')",F,CO,0.185,2,0
"('Ah', '7h')",F,BTN,0.12,3,0
"('Jd', 'Qs')",F,MP,0.195,1,0
"('Js', 'Jh')",F,EP,0.02,0,0
"('8c', 'Ad')",F,CO,0.165,2,0
"('As', 'Ac')",R,SB,0.005,4,1
"('8d', 'Ad')",R,CO,0.105,2,1
"('Jc', 'Jh')",R,SB,0.02,4,1
"('As', '7s')",R,BTN,0.12,3,1
"('Ts', 'Kh')",F,MP,0.175,1,0
"('Ah', '6h')",F,BTN,0.155,3,0
"('As', '9d')",F,CO,0.145,2,0
"('Js', 'Ad')",F,MP,0.08,1,0
"('Qh', 'Js')",F,MP,0.195,1,0
"('Ts', 'Qs')",F,EP,0.15,0,0
"('7s', '7c')",R,CO,0.055,2,1
"('Th', 'Kh')",R,CO,0.1,2,1
"('Jc', 'Qs')",F,MP,0.195,1,0
"('Ah', 'Tc')",R,BTN,0.105,3,1
"('As', '8s')",R,BTN,0.105,3,1
"('6c', '6d')",F,EP,0.09,0,0
"('Ts', 'Ac')",R,EP,0.105,0,1
"('9d', '9s')",R,SB,0.03,4,1
"('As', 'Ks')",R,BTN,0.035,3,1
"('Ac', 'Th')",R,EP,0.105,0,1
"('Ad', 'As')",R,SB,0.005,4,1
"('9h', '9s')",R,MP,0.03,1,1
"('Ad', '3d')",R,SB,0.205,4,1
"('9s', 'Qs')",R,MP,0.185,1,1
"('Ad', '7h')",F,CO,0.2,2,0
"('As', 'Qd')",R,EP,0.07,0,1
"('Ah', 'Jh')",F,MP,0.055,1,0
"('7h', '7s')",R,EP,0.055,0,1
"('Kh', '9h')",R,BTN,0.145,3,1
"('As', '9h')",R,BTN,0.145,3,1
"('As', 'Jd')",R,CO,0.08,2,1
"('7d', 'Ah')",F,MP,0.2,1,0
"('5s', 'As')",R,EP,0.155,0,1
"('Js', 'Kh')",R,MP,0.14,1,1
"('Jh', 'Ks')",F,BTN,0.14,3,0
"('7s', 'Ad')",F,EP,0.2,0,0
"('Ac', 'Qc')",R,MP,0.04,1,1
"('Kc', 'Qs')",F,EP,0.115,0,0
"('Js', 'As')",F,BTN,0.055,3,0
"('Kc', 'Js')",R,EP,0.14,0,1
"('Ts', 'As')",R,MP,0.06,1,1
"('8d', '8h')",F,EP,0.035,0,0
"('Ts', 'Kh')",R,MP,0.175,1,1
"('Ac', '5c')",R,SB,0.155,4,1
"('Qs', 'Ac')",R,CO,0.07,2,1
"('8d', 'Ah')",F,BTN,0.165,3,0
"('9s', 'Ah')",F,EP,0.145,0,0
"('As', '8h')",F,EP,0.165,0,0
"('5d', '5h')",R,MP,0.145,1,1
"('5h', '5c')",R,MP,0.145,1,1
"('Kh', 'Qd')",F,MP,0.115,1,0
"('Ad', 'Jd')",F,BTN,0.055,3,0
"('9h', 'Ah')",R,SB,0.085,4,1
"('Ah', 'Jh')",F,MP,0.055,1,0
"('7h', '7d')",R,MP,0.055,1,1
"('Kd', 'As')",R,MP,0.05,1,1
"('5c', 'Ac')",F,MP,0.155,1,0
"('Jc', 'Qs')",F,MP,0.195,1,0
"('As', '9d')",F,BTN,0.145,3,0
"('Ac', 'Kc')",R,SB,0.035,4,1
"('Td', 'Th')",R,MP,0.025,1,1
"('8d', 'Ah')",F,BTN,0.165,3,0
"('Jd', 'Js')",R,EP,0.02,0,1
"('9h', 'Kh')",F,EP,0.145,0,0
"('Qs', 'Ks')",R,MP,0.07,1,1
"('Ac', 'Kc')",R,EP,0.035,0,1
"('Ah', '5h')",R,SB,0.155,4,1
"('Qc', 'Js')",F,EP,0.195,0,0
"('Ad', 'Jh')",F,MP,0.08,1,0
"('Jh', 'Js')",R,SB,0.02,4,1
"('Ac', 'Ah')",R,MP,0.005,1,1
"('Kc', 'Js')",R,MP,0.14,1,1
"('Kc', 'Tc')",R,MP,0.1,1,1
"('Qc', 'Ad')",F,MP,0.07,1,0
"('Kd', '8d')",F,EP,0.18,0,0
"('8s', 'Ah')",F,MP,0.165,1,0
"('9h', 'Qh')",F,EP,0.185,0,0
"('5s', 'As')",R,BTN,0.155,3,1
"('9s', 'As')",R,CO,0.085,2,1
"('Ks', 'Qs')",R,BTN,0.07,3,1
"('Jc', 'Qh')",F,EP,0.195,0,0
"('9s', 'Ac')",F,MP,0.145,1,0
"('6c', 'Ac')",R,BTN,0.155,3,1
"('Ac', '7c')",R,MP,0.12,1,1
"('Js', 'Ah')",R,MP,0.08,1,1
"('Qh', 'Ah')",F,CO,0.04,2,0
"('Ad', '8h')",F,SB,0.165,4,0
"('Td', 'Ac')",F,BTN,0.105,3,0
"('4c', 'Ac')",R,CO,0.17,2,1
"('Jc', 'Kd')",F,EP,0.14,0,0
"('5c', '5s')",F,BTN,0.145,3,0
"('Ah', 'Ks')",R,MP,0.05,1,1
"('6h', 'Ah')",R,SB,0.155,4,1
"('Ac', 'Qh')",R,SB,0.07,4,1
"('6d', '6c')",R,MP,0.09,1,1
"('Qd', 'Kc')",R,MP,0.115,1,1
"('Kd', 'Qd')",R,MP,0.07,1,1
"('Ah', 'Td')",F,MP,0.105,1,0
"('Qc', 'Qs')",R,CO,0.015,2,1
"('Kh', '9h')",R,EP,0.145,0,1
"('Tc', 'Qc')",R,MP,0.15,1,1
"('Ad', '7s')",F,EP,0.2,0,0
"('Ac', '8c')",R,MP,0.105,1,1
"('8s', '8h')",R,CO,0.035,2,1
"('Qc', 'Ac')",F,SB,0.04,4,0
"('Ac', '5c')",F,EP,0.155,0,0
"('Kh', 'Tc')",F,MP,0.175,1,0
"('9c', 'As')",F,MP,0.145,1,0
"('Jd', 'Ac')",R,MP,0.08,1,1
"('Kc', 'Th')",F,MP,0.175,1,0
"('8d', 'Ac')",F,EP,0.165,0,0
"('Kh', 'Kc')",R,BTN,0.01,3,1
"('Qh', 'Ah')",R,SB,0.04,4,1
"('Ks', 'Td')",F,EP,0.175,0,0
"('8d', '8h')",R,BTN,0.035,3,1
"('Qc', 'Kd')",R,CO,0.115,2,1
"('Ts', 'Kh')",R,MP,0.175,1,1
"('Tc', 'Ts')",R,BTN,0.025,3,1
"('7c', 'Kc')",F,EP,0.21,0,0
"('Qh', 'Jd')",F,BTN,0.195,3,0
"('Kc', 'Jc')",F,MP,0.085,1,0
"('Kh', 'Ac')",R,EP,0.05,0,1
"('Jd', 'Js')",R,MP,0.02,1,1
"('Kc', 'Qd')",F,MP,0.115,1,0
"('8c', 'As')",F,MP,0.165,1,0
"('Ts', 'Td')",R,CO,0.025,2,1
"('Tc', 'Qc')",R,BTN,0.15,3,1
"('Ad', '7h')",R,SB,0.2,4,1
"('Qh', 'As')",R,CO,0.07,2,1
"('Jd', 'Ah')",R,MP,0.08,1,1
"('Ad', 'Jc')",F,EP,0.08,0,0
"('Ah', 'Ac')",R,BTN,0.005,3,1
"('Td', 'Qd')",R,MP,0.15,1,1
"('Qd', 'Td')",R,CO,0.15,2,1
"('7d', '7s')",F,EP,0.055,0,0
"('Ks', 'Ac')",R,MP,0.05,1,1
"('Ac', '8s')",F,BTN,0.165,3,0
"('Ah', '2h')",R,BTN,0.215,3,1
"('Js', 'Kh')",R,CO,0.14,2,1
"('Jd', 'Kh')",R,SB,0.14,4,1
"('Tc', 'Kd')",F,MP,0.175,1,0
"('Tc', 'Qc')",R,CO,0.15,2,1
"('Jc', 'As')",R,BTN,0.08,3,1
"('Jd', 'Qd')",R,MP,0.12,1,1
"('As', '5s')",F,EP,0.155,0,0
"('Ad', '5d')",F,EP,0.155,0,0
"('Kc', '8c')",R,MP,0.18,1,1
"('As', 'Td')",F,BTN,0.105,3,0
"('As', '8c')",F,EP,0.165,0,0
"('5s', '5c')",F,EP,0.145,0,0
"('Kh', 'Td')",F,MP,0.175,1,0
"('Ad', 'Td')",R,CO,0.06,2,1
"('Js', 'Kh')",F,MP,0.14,1,0
"('Ad', '8d')",R,BTN,0.105,3,1
"('Ad', 'Ah')",R,SB,0.005,4,1
"('Ah', '5h')",R,BTN,0.155,3,1
"('6d', '6h')",R,EP,0.09,0,1
"('Qs', 'Ks')",F,CO,0.07,2,0
"('9d', '9c')",R,CO,0.03,2,1
"('Ks', 'Kh')",R,CO,0.01,2,1
"('Ac', 'Jc')",F,EP,0.055,0,0
"('As', 'Qs')",R,BTN,0.04,3,1
"('Jc', 'Jh')",R,BTN,0.02,3,1
"('Kh', 'Tc')",F,CO,0.175,2,0
"('Td', 'Jd')",R,CO,0.21,2,1
"('9s', 'Ac')",F,MP,0.145,1,0
"('Ac', 'Th')",R,EP,0.105,0,1
"('Ah', 'Tc')",R,MP,0.105,1,1
